CustomerID,CustomerSegment,AcquisitionChannel,SignupYear,LoyaltyTier
C1000,Returning,Paid Social,2025,Gold
C1001,Returning,Email,2024,Bronze
C1002,VIP,Referral,2023,Bronze
C1003,Returning,Organic,2023,Bronze
C1004,New,Email,2024,Bronze
C1005,VIP,Referral,2024,Silver
C1006,Returning,Organic,2023,Bronze
C1007,Returning,Organic,2024,Bronze
C1008,New,Email,2025,Bronze
C1009,Returning,Email,2023,Gold
C1010,New,Referral,2023,Gold
C1011,VIP,Email,2023,Gold
C1012,Returning,Organic,2025,Bronze
C1013,Returning,Email,2024,Bronze
C1014,Returning,Email,2024,Silver
C1015,New,Email,2025,Silver
C1016,Returning,Referral,2025,Silver
C1017,New,Organic,2024,Bronze
C1018,Returning,Referral,2023,Gold
C1019,Returning,Organic,2024,Gold
C1020,Returning,Email,2024,Bronze
C1021,New,Referral,2024,Silver
C1022,VIP,Email,2023,Gold
C1023,VIP,Organic,2024,Gold
C1024,Returning,Paid Social,2024,Bronze
C1025,New,Organic,2025,Bronze
C1026,Returning,Referral,2023,Bronze
C1027,New,Email,2023,Silver
C1028,New,Paid Social,2025,Bronze
C1029,Returning,Organic,2024,Bronze
C1030,Returning,Referral,2023,Bronze
C1031,VIP,Referral,2024,Gold
C1032,New,Paid Social,2024,Silver
C1033,New,Organic,2023,Bronze
C1034,Returning,Email,2023,Silver
C1035,New,Paid Social,2024,Silver
C1036,New,Organic,2024,Silver
C1037,Returning,Organic,2024,Silver
C1038,New,Organic,2024,Bronze
C1039,Returning,Organic,2024,Silver
C1040,Returning,Organic,2024,Silver
C1041,Returning,Organic,2024,Silver
C1042,Returning,Organic,2025,Silver
C1043,New,Paid Social,2024,Bronze
C1044,Returning,Organic,2025,Bronze
C1045,Returning,Organic,2024,Silver
C1046,New,Organic,2024,Bronze
C1047,New,Paid Social,2023,Bronze
C1048,Returning,Paid Social,2024,Bronze
C1049,New,Paid Social,2024,Gold
C1050,New,Email,2024,Bronze
C1051,New,Email,2024,Silver
C1052,Returning,Email,2025,Bronze
C1053,Returning,Organic,2023,Bronze
C1054,Returning,Referral,2025,Bronze
C1055,Returning,Referral,2024,Bronze
C1056,Returning,Organic,2023,Bronze
C1057,Returning,Referral,2025,Bronze
C1058,New,Organic,2025,Bronze
C1059,New,Paid Social,2024,Bronze
C1060,Returning,Referral,2024,Silver
C1061,Returning,Email,2024,Bronze
C1062,Returning,Organic,2023,Gold
C1063,Returning,Email,2024,Bronze
C1064,Returning,Email,2024,Silver
C1065,Returning,Referral,2023,Bronze
C1066,Returning,Email,2025,Bronze
C1067,New,Referral,2024,Silver
C1068,New,Email,2025,Bronze
C1069,Returning,Email,2024,Bronze
C1070,New,Paid Social,2024,Silver
C1071,New,Paid Social,2023,Bronze
C1072,VIP,Referral,2023,Gold
C1074,New,Paid Social,2023,Bronze
C1075,New,Paid Social,2023,Bronze
