OrderID,OrderDate,CustomerID,Region,ProductCategory,ProductName,Channel,UnitPrice,Quantity,Discount,ShippingCost,Revenue,Returned,UnitCost,ListPrice,GrossMarginPct,Supplier,Segment,AcquisitionChannel,SignupYear,LoyaltyTier,ReturnReason,RefundAmount,RestockedFlag,COGS,GrossProfit,NetContribution
ORD50864,2025-01-19,C1015,West,Apparel,Chino Pants,Mobile App,113.59,1,0.15,8.38,96.55,true,45.05,79.17,0.431,Meridian,New,Email,2025,Silver,Changed mind,91.12,N,45.05,51.50,-39.62
ORD50503,2025-03-18,C1030,South,Home,Wall Art,Online,72.95,1,0.1,5.41,65.66,false,28.69,49.47,0.42,Globex,Returning,Referral,2023,Bronze,,0,,28.69,36.97,36.97
ORD50227,2025-05-17,C1090,West,Apparel,Chino Pants,Online,78.75,1,0,11.74,63.00,false,45.05,79.17,0.431,Meridian,New,Paid Social,2024,Bronze,,0,,45.05,17.95,17.95
ORD50662,2025-06-02,C1178,East,Footwear,Sandals,In-Store,262.84,4,0.2,0.00,841.09,false,103.25,123.51,0.164,Acme,VIP,Referral,2024,Gold,,0,,413.00,428.09,428.09
ORD50440,2025-02-22,C1003,East,Footwear,Leather Boots,In-Store,168.04,3,0.05,0.00,478.91,false,94.79,113.39,0.164,Meridian,Returning,Organic,2023,Bronze,,0,,284.37,194.54,194.54
ORD50534,2025-08-16,C1058,West,Footwear,Sandals,Online,47.42,2,0.15,5.38,80.61,true,103.25,123.51,0.164,Acme,New,Organic,2025,Bronze,,0,,206.50,-125.89,-125.89
ORD50889,2025-06-04,C1030,South,Footwear,Sandals,Online,150.66,2,0,11.55,301.32,true,103.25,123.51,0.164,Acme,Returning,Referral,2023,Bronze,Wrong size / poor fit,277.97,N,206.50,94.82,-183.15
ORD50755,2025-07-09,C1096,East,Apparel,Classic Tee,Mobile App,44.27,1,0.15,7.99,37.63,false,40.01,70.32,0.431,Acme,New,Paid Social,2024,Bronze,,0,,40.01,-2.38,-2.38
ORD50909,2025-01-12,C1084,Midwest,Footwear,Running Shoes,Mobile App,84.40,2,0,3.85,168.80,false,94.62,113.18,0.164,Meridian,New,Referral,2024,Silver,,0,,189.24,-20.44,-20.44
ORD50259,2025-08-19,C1158,West,Footwear,Canvas Sneakers,In-Store,137.62,1,0.1,0.00,123.86,false,93.6,111.96,0.164,Northwind,Returning,Paid Social,2023,Silver,,0,,93.60,30.26,30.26
ORD50715,2025-02-18,C1109,West,Beauty,Bath Set,In-Store,20.68,3,0,0.00,62.04,false,19.67,43.71,0.55,Umbra,VIP,Referral,2023,Silver,,0,,59.01,3.03,3.03
ORD50118,2025-10-03,C1018,West,Apparel,Chino Pants,Mobile App,114.82,3,0.1,3.83,310.01,true,45.05,79.17,0.431,Meridian,Returning,Referral,2023,Gold,Not as described,263.75,N,135.15,174.86,-88.89
ORD50168,2025-01-26,C1177,South,Apparel,Wool Sweater,In-Store,148.25,3,0.05,0.00,422.51,false,35.65,62.66,0.431,Acme,VIP,Organic,2025,Silver,,0,,106.95,315.56,315.56
ORD50664,2025-03-02,C1151,West,Footwear,Loafers,Online,99.63,5,0,10.04,498.15,false,84.63,101.23,0.164,Meridian,VIP,Email,2024,Silver,,0,,423.15,75.00,75.00
ORD50078,2025-12-27,C1025,West,Home,Cotton Throw,Mobile App,43.88,2,0.05,10.25,83.37,false,27.21,46.91,0.42,Acme,New,Organic,2025,Bronze,,0,,54.42,28.95,28.95
ORD50512,2025-11-17,C1088,West,Accessories,Wool Scarf,Mobile App,16.52,1,0.2,0.00,13.22,false,29.0,57.99,0.5,Northwind,New,Paid Social,2025,Silver,,0,,29.00,-15.78,-15.78
ORD50013,2025-12-12,C1097,East,Accessories,Sunglasses,Mobile App,67.48,1,0.1,7.53,60.73,false,26.16,52.33,0.5,Northwind,New,Email,2023,Bronze,,0,,26.16,34.57,34.57
ORD50132,2025-06-09,C1126,East,Accessories,Wool Scarf,Online,43.98,1,0.05,4.16,41.78,false,29.0,57.99,0.5,Northwind,New,Paid Social,2024,Silver,,0,,29.00,12.78,12.78
ORD50612,2025-06-05,C1157,South,Footwear,Loafers,Mobile App,46.96,3,0.3,11.63,98.62,false,84.63,101.23,0.164,Meridian,Returning,Organic,2024,Silver,,0,,253.89,-155.27,-155.27
