OrderID,OrderDate,CustomerID,CustomerSegment,Region,ProductCategory,ProductName,Channel,UnitPrice,Quantity,Discount,ShippingCost,Revenue,Returned
ORD50864,2025-01-19,C1015,New,West,Apparel,Chino Pants,Mobile App,113.59,1,0.15,8.38,96.55,true
ORD50503,2025-03-18,C1030,,South,Home,Wall Art,Online,72.95,1,0.1,5.41,65.66,false
ORD50227,2025-05-17,C1090,New,West,Apparel,Chino Pants,Online,78.75,1,0,11.74,63.00,false
ORD50662,2025-06-02,C1178,VIP,East,Footwear,Sandals,In-Store,262.84,4,0.2,0.00,841.09,false
ORD50440,2025-02-22,C1003,Returning,East,Footwear,Leather Boots,In-Store,168.04,3,0.05,0.00,478.91,false
ORD50534,2025-08-16,C1058,New,West,Footwear,Sandals,Online,47.42,2,0.15,5.38,80.61,true
ORD50889,2025-06-04,C1030,Returning,South,Footwear,Sandals,Online,150.66,2,0,11.55,301.32,true
ORD50755,2025-07-09,C1096,New,East,Apparel,Classic Tee,Mobile App,44.27,1,0.15,7.99,37.63,false
ORD50909,2025-01-12,C1084,,Midwest,Footwear,Running Shoes,Mobile App,84.40,2,0,3.85,168.80,false
ORD50259,2025-08-19,C1158,Returning,West,Footwear,Canvas Sneakers,In-Store,137.62,1,0.1,0.00,123.86,false
ORD50715,2025-02-18,C1109,VIP,West,Beauty,Bath Set,In-Store,20.68,3,0,0.00,62.04,false
ORD50118,2025-10-03,C1018,Returning,West,Apparel,Chino Pants,Mobile App,114.82,3,0.1,3.83,310.01,true
ORD50168,2025-01-26,C1177,VIP,South,Apparel,Wool Sweater,In-Store,148.25,3,0.05,0.00,422.51,false
ORD50664,2025-03-02,C1151,VIP,West,Footwear,Loafers,Online,99.63,5,0,10.04,498.15,false
ORD50078,2025-12-27,C1025,New,West,Home,Cotton Throw,Mobile App,43.88,2,0.05,10.25,83.37,false
ORD50512,2025-11-17,C1088,New,West,Accessories,Wool Scarf,Mobile App,16.52,1,0.2,0.00,13.22,false
ORD50013,2025-12-12,C1097,New,East,Accessories,Sunglasses,Mobile App,67.48,1,0.1,7.53,60.73,false
ORD50132,2025-06-09,C1126,New,East,Accessories,Wool Scarf,Online,43.98,1,0.05,4.16,41.78,false
ORD50612,2025-06-05,C1157,Returning,South,Footwear,Loafers,Mobile App,46.96,3,0.3,11.63,98.62,false
